timestamp,total_points,remaining_points
2025-08-18T21:31:18Z,99,99
2025-08-19T07:04:55Z,99,98
2025-08-19T19:04:32Z,107,101
2025-08-20T07:05:13Z,107,101
2025-08-20T19:04:31Z,108,98
2025-08-21T07:07:47Z,108,93
2025-08-21T19:04:41Z,108,93
2025-08-22T07:04:54Z,108,93
2025-08-22T19:04:34Z,111,95
2025-08-23T07:05:00Z,111,92
2025-08-23T19:04:32Z,111,92
2025-08-24T07:04:40Z,111,92
2025-08-24T19:04:15Z,111,92
2025-08-25T07:05:45Z,111,92
2025-08-25T19:04:50Z,111,92
2025-08-26T07:05:25Z,111,92
2025-08-26T19:04:20Z,116,93
2025-08-27T07:05:11Z,116,93
2025-08-27T19:04:30Z,116,90
2025-08-28T07:05:13Z,116,90
2025-08-28T19:04:55Z,116,89
2025-08-29T07:05:18Z,116,89
